Time,Open,High,Low,Close,Volume
2019.05.22 22:40:00,14.431,14.434,14.427,14.431,26
2019.05.22 22:30:00,14.426,14.431,14.423,14.43,42
2019.05.22 22:20:00,14.43,14.433,14.425,14.431,50
2019.05.22 22:10:00,14.429,14.432,14.427,14.43,47
2019.05.22 22:00:00,14.429,14.433,14.424,14.429,69
2019.05.22 21:50:00,14.429,14.434,14.424,14.429,64
2019.05.22 21:40:00,14.437,14.439,14.429,14.429,75
2019.05.22 21:30:00,14.439,14.442,14.434,14.436,91
2019.05.22 21:20:00,14.439,14.444,14.434,14.439,119
2019.05.22 21:10:00,14.446,14.449,14.439,14.439,89
2019.05.22 21:00:00,14.443,14.459,14.443,14.446,86
2019.05.22 20:50:00,14.449,14.449,14.441,14.443,92
2019.05.22 20:40:00,14.45,14.45,14.448,14.449,49
2019.05.22 20:30:00,14.453,14.457,14.449,14.449,64
2019.05.22 20:20:00,14.459,14.464,14.448,14.451,80
2019.05.22 20:10:00,14.454,14.462,14.451,14.459,70
2019.05.22 20:00:00,14.456,14.459,14.45,14.456,55
2019.05.22 19:50:00,14.45,14.456,14.446,14.455,83
2019.05.22 19:40:00,14.45,14.456,14.446,14.45,106
2019.05.22 19:30:00,14.461,14.464,14.448,14.451,123
2019.05.22 19:20:00,14.466,14.469,14.461,14.461,68
2019.05.22 19:10:00,14.471,14.471,14.456,14.466,50
2019.05.22 19:00:00,14.466,14.483,14.466,14.471,63
2019.05.22 18:50:00,14.456,14.468,14.45,14.466,58
2019.05.22 18:40:00,14.454,14.459,14.45,14.456,70
2019.05.22 18:30:00,14.45,14.459,14.446,14.454,99
2019.05.22 18:20:00,14.455,14.46,14.448,14.45,69
2019.05.22 18:10:00,14.467,14.469,14.453,14.455,112
2019.05.22 18:00:00,14.448,14.468,14.445,14.465,118
2019.05.22 17:50:00,14.445,14.45,14.44,14.448,53
2019.05.22 17:40:00,14.447,14.449,14.44,14.445,164
2019.05.22 17:30:00,14.435,14.447,14.433,14.447,154
2019.05.22 17:20:00,14.428,14.445,14.426,14.437,106
2019.05.22 17:10:00,14.428,14.433,14.414,14.428,230
2019.05.22 17:00:00,14.433,14.437,14.423,14.428,127
2019.05.22 16:50:00,14.432,14.442,14.427,14.434,125
2019.05.22 16:40:00,14.438,14.444,14.427,14.432,203
2019.05.22 16:30:00,14.443,14.446,14.432,14.438,167
2019.05.22 16:20:00,14.443,14.448,14.438,14.443,124
2019.05.22 16:10:00,14.443,14.445,14.432,14.442,153
2019.05.22 16:00:00,14.457,14.462,14.438,14.443,174
2019.05.22 15:50:00,14.474,14.477,14.444,14.452,131
2019.05.22 15:40:00,14.473,14.482,14.458,14.473,94
2019.05.22 15:30:00,14.467,14.477,14.464,14.473,129
2019.05.22 15:20:00,14.467,14.472,14.453,14.462,135
2019.05.22 15:10:00,14.476,14.479,14.468,14.472,133
2019.05.22 15:00:00,14.453,14.477,14.451,14.476,180
2019.05.22 14:50:00,14.447,14.457,14.447,14.456,62
2019.05.22 14:40:00,14.433,14.455,14.43,14.447,143
2019.05.22 14:30:00,14.432,14.435,14.431,14.433,38
2019.05.22 14:20:00,14.423,14.434,14.421,14.432,68
2019.05.22 14:10:00,14.425,14.432,14.422,14.423,65
2019.05.22 14:00:00,14.431,14.433,14.421,14.425,69
2019.05.22 13:50:00,14.43,14.431,14.422,14.43,96
2019.05.22 13:40:00,14.438,14.438,14.426,14.43,61
2019.05.22 13:30:00,14.44,14.44,14.431,14.438,58
2019.05.22 13:20:00,14.441,14.444,14.432,14.438,59
2019.05.22 13:10:00,14.431,14.441,14.428,14.441,73
2019.05.22 13:00:00,14.43,14.436,14.426,14.431,62
2019.05.22 12:50:00,14.432,14.436,14.427,14.43,75
2019.05.22 12:40:00,14.433,14.434,14.426,14.43,64
2019.05.22 12:30:00,14.432,14.436,14.425,14.433,82
2019.05.22 12:20:00,14.426,14.435,14.425,14.43,63
2019.05.22 12:10:00,14.425,14.434,14.422,14.427,57
2019.05.22 12:00:00,14.421,14.427,14.418,14.425,57
2019.05.22 11:50:00,14.416,14.421,14.411,14.421,51
2019.05.22 11:40:00,14.421,14.425,14.416,14.416,71
2019.05.22 11:30:00,14.415,14.427,14.411,14.421,81
2019.05.22 11:20:00,14.401,14.424,14.401,14.415,98
2019.05.22 11:10:00,14.388,14.404,14.388,14.401,78
2019.05.22 11:00:00,14.389,14.393,14.383,14.388,53
2019.05.22 10:50:00,14.39,14.391,14.379,14.389,66
2019.05.22 10:40:00,14.389,14.39,14.38,14.39,95
2019.05.22 10:30:00,14.388,14.39,14.382,14.389,86
2019.05.22 10:20:00,14.398,14.398,14.382,14.389,92
2019.05.22 10:10:00,14.398,14.402,14.392,14.396,83
2019.05.22 10:00:00,14.407,14.409,14.393,14.398,93
